date,group,model,sku,retailer,price_cad,ah,packs
2026-09-08,batteries,DCB606,1001014215,Home Depot,198.00,6,1
2026-09-08,batteries,DCB606-2,1001013684,Home Depot,379.00,12,2
2026-09-08,batteries,DCB609,1001032331,Home Depot,339.00,9,1
2026-09-08,batteries,DCB609-2,1001032332,Home Depot,428.00,18,2
2026-09-08,batteries,DCB612,1001308167,Home Depot,419.00,12,1
2026-09-08,batteries,DCB615,1001686738,Home Depot,559.00,15,1
2026-09-08,husky,H61MWC15HP,1001653248,Home Depot,1198.00,,
2026-09-08,husky,H72MWC15BLK,1001898835,Home Depot,1548.00,,
2026-09-08,sixtyv,DCST972X1,1001587655,Home Depot,428.00,,
2026-09-08,sixtyv,DWOAS8PS,1001592778,Home Depot,179.00,,
2026-09-09,batteries,DCB606,1001014215,Home Depot,198.00,6,1
2026-09-09,batteries,DCB606-2,1001013684,Home Depot,379.00,12,2
2026-09-09,batteries,DCB609,1001032331,Home Depot,339.00,9,1
2026-09-09,batteries,DCB609-2,1001032332,Home Depot,428.00,18,2
2026-09-09,batteries,DCB609C,1001936613,Home Depot,348.00,9,1
2026-09-09,batteries,DCB612,1001308167,Home Depot,419.00,12,1
2026-09-09,batteries,DCB612,DEW-DCB612,KMS Tools,328.00,12,1
2026-09-09,batteries,DCB612,4XXTU7WXODC9,Walmart.ca,328.00,12,1
2026-09-09,batteries,DCB615,1001686738,Home Depot,559.00,15,1
2026-09-09,husky,H61MWC15HP,1001653248,Home Depot,1198.00,,
2026-09-09,husky,H61MWC15HPBLU,1001898842,Home Depot,1198.00,,
2026-09-09,husky,H72MWC10RED,1001893870,Home Depot,1198.00,,
2026-09-09,husky,H72MWC15BLK,1001898835,Home Depot,1548.00,,
2026-09-09,sixtyv,DCBL772X1,DEW-DCBL772X1,KMS Tools,418.00,,
2026-09-09,sixtyv,DCED472,1001651193,Home Depot,449.00,,
2026-09-09,sixtyv,DCS578B,DEW-DCS578B,KMS Tools,398.00,,
2026-09-09,sixtyv,DCST972X1,1001587655,Home Depot,428.00,,
2026-09-09,sixtyv,DWOAS8PS,1001592778,Home Depot,179.00,,
2026-09-10,batteries,DCB606,1001014215,Home Depot,198.00,6,1
2026-09-10,batteries,DCB606-2,1001013684,Home Depot,379.00,12,2
2026-09-10,batteries,DCB609,1001032331,Home Depot,339.00,9,1
2026-09-10,batteries,DCB609-2,1001032332,Home Depot,428.00,18,2
2026-09-10,batteries,DCB609C,1001936613,Home Depot,348.00,9,1
2026-09-10,batteries,DCB612,1001308167,Home Depot,419.00,12,1
2026-09-10,batteries,DCB612,DEW-DCB612,KMS Tools,328.00,12,1
2026-09-10,batteries,DCB612,4XXTU7WXODC9,Walmart.ca,328.00,12,1
2026-09-10,batteries,DCB615,1001686738,Home Depot,559.00,15,1
2026-09-10,husky,H61MWC10SRWHT,1001581627,Home Depot,928.00,,
